Sample in Buffer,Sample in Window,TRIGGER,probe_irq_dbg[17:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,0820c
1,1,0,0820c
2,2,0,0820c
3,3,0,0820c
4,4,0,0820c
5,5,0,0820c
6,6,0,0820c
7,7,0,0820c
8,8,0,0820c
9,9,0,0820c
10,10,0,0820c
11,11,0,0820c
12,12,0,0820c
13,13,0,0820c
14,14,0,0820c
15,15,0,0820c
16,16,0,0820c
17,17,0,0820c
18,18,0,0820c
19,19,0,0820c
20,20,0,0820c
21,21,0,0820c
22,22,0,0820c
23,23,0,0820c
24,24,0,0820c
25,25,0,0820c
26,26,0,0820c
27,27,0,0820c
28,28,0,0820c
29,29,0,0820c
30,30,0,0820c
31,31,0,0820c
32,32,0,0820c
33,33,0,0820c
34,34,0,0820c
35,35,0,0820c
36,36,0,0820c
37,37,0,0820c
38,38,0,0820c
39,39,0,0820c
40,40,0,0820c
41,41,0,0820c
42,42,0,0820c
43,43,0,0820c
44,44,0,0820c
45,45,0,0820c
46,46,0,0820c
47,47,0,0820c
48,48,0,0820c
49,49,0,0820c
50,50,0,0820c
51,51,0,0820c
52,52,0,0820c
53,53,0,0820c
54,54,0,0820c
55,55,0,0820c
56,56,0,0820c
57,57,0,0820c
58,58,0,0820c
59,59,0,0820c
60,60,0,0820c
61,61,0,0820c
62,62,0,0820c
63,63,0,0820c
64,64,0,0820c
65,65,0,0820c
66,66,0,0820c
67,67,0,0820c
68,68,0,0820c
69,69,0,0820c
70,70,0,0820c
71,71,0,0820c
72,72,0,0820c
73,73,0,0820c
74,74,0,0820c
75,75,0,0820c
76,76,0,0820c
77,77,0,0820c
78,78,0,0820c
79,79,0,0820c
80,80,0,0820c
81,81,0,0820c
82,82,0,0820c
83,83,0,0820c
84,84,0,0820c
85,85,0,0820c
86,86,0,0820c
87,87,0,0820c
88,88,0,0820c
89,89,0,0820c
90,90,0,0820c
91,91,0,0820c
92,92,0,0820c
93,93,0,0820c
94,94,0,0820c
95,95,0,0820c
96,96,0,0820c
97,97,0,0820c
98,98,0,0820c
99,99,0,0820c
100,100,0,0820c
101,101,0,0820c
102,102,0,0820c
103,103,0,0820c
104,104,0,0820c
105,105,0,0820c
106,106,0,0820c
107,107,0,0820c
108,108,0,0820c
109,109,0,0820c
110,110,0,0820c
111,111,0,0820c
112,112,0,0820c
113,113,0,0820c
114,114,0,0820c
115,115,0,0820c
116,116,0,0820c
117,117,0,0820c
118,118,0,0820c
119,119,0,0820c
120,120,0,0820c
121,121,0,0820c
122,122,0,0820c
123,123,0,0820c
124,124,0,0820c
125,125,0,0820c
126,126,0,0820c
127,127,0,0820c
128,128,0,0820c
129,129,0,0820c
130,130,0,0820c
131,131,0,0820c
132,132,0,0820c
133,133,0,0820c
134,134,0,0820c
135,135,0,0820c
136,136,0,0820c
137,137,0,0820c
138,138,0,0820c
139,139,0,0820c
140,140,0,0820c
141,141,0,0820c
142,142,0,0820c
143,143,0,0820c
144,144,0,0820c
145,145,0,0820c
146,146,0,0820c
147,147,0,0820c
148,148,0,0820c
149,149,0,0820c
150,150,0,0820c
151,151,0,0820c
152,152,0,0820c
153,153,0,0820c
154,154,0,0820c
155,155,0,0820c
156,156,0,0820c
157,157,0,0820c
158,158,0,0820c
159,159,0,0820c
160,160,0,0820c
161,161,0,0820c
162,162,0,0820c
163,163,0,0820c
164,164,0,0820c
165,165,0,0820c
166,166,0,0820c
167,167,0,0820c
168,168,0,0820c
169,169,0,0820c
170,170,0,0820c
171,171,0,0820c
172,172,0,0820c
173,173,0,0820c
174,174,0,0820c
175,175,0,0820c
176,176,0,0820c
177,177,0,0820c
178,178,0,0820c
179,179,0,0820c
180,180,0,0820c
181,181,0,0820c
182,182,0,0820c
183,183,0,0820c
184,184,0,0820c
185,185,0,0820c
186,186,0,0820c
187,187,0,0820c
188,188,0,0820c
189,189,0,0820c
190,190,0,0820c
191,191,0,0820c
192,192,0,0820c
193,193,0,0820c
194,194,0,0820c
195,195,0,0820c
196,196,0,0820c
197,197,0,0820c
198,198,0,0820c
199,199,0,0820c
200,200,0,0820c
201,201,0,0820c
202,202,0,0820c
203,203,0,0820c
204,204,0,0820c
205,205,0,0820c
206,206,0,0820c
207,207,0,0820c
208,208,0,0820c
209,209,0,0820c
210,210,0,0820c
211,211,0,0820c
212,212,0,0820c
213,213,0,0820c
214,214,0,0820c
215,215,0,0820c
216,216,0,0820c
217,217,0,0820c
218,218,0,0820c
219,219,0,0820c
220,220,0,0820c
221,221,0,0820c
222,222,0,0820c
223,223,0,0820c
224,224,0,0820c
225,225,0,0820c
226,226,0,0820c
227,227,0,0820c
228,228,0,0820c
229,229,0,0820c
230,230,0,0820c
231,231,0,0820c
232,232,0,0820c
233,233,0,0820c
234,234,0,0820c
235,235,0,0820c
236,236,0,0820c
237,237,0,0820c
238,238,0,0820c
239,239,0,0820c
240,240,0,0820c
241,241,0,0820c
242,242,0,0820c
243,243,0,0820c
244,244,0,0820c
245,245,0,0820c
246,246,0,0820c
247,247,0,0820c
248,248,0,0820c
249,249,0,0820c
250,250,0,0820c
251,251,0,0820c
252,252,0,0820c
253,253,0,0820c
254,254,0,0820c
255,255,0,0820c
256,256,0,0820c
257,257,0,0820c
258,258,0,0820c
259,259,0,0820c
260,260,0,0820c
261,261,0,0820c
262,262,0,0820c
263,263,0,0820c
264,264,0,0820c
265,265,0,0820c
266,266,0,0820c
267,267,0,0820c
268,268,0,0820c
269,269,0,0820c
270,270,0,0820c
271,271,0,0820c
272,272,0,0820c
273,273,0,0820c
274,274,0,0820c
